Date,Open,High,Low,Close,Volume,Adj Close
2014-03-05,58.20,58.45,58.20,58.30,6889000,56.91
2014-03-04,57.90,58.00,57.70,57.70,6154000,56.33
2014-03-03,57.80,58.15,57.50,57.95,7994000,56.57
2014-02-27,58.30,58.45,58.30,58.30,3660000,56.91
2014-02-26,58.00,58.50,57.95,58.40,8945000,57.01
2014-02-25,58.25,58.25,57.95,58.15,8614000,56.76
2014-02-24,58.40,58.45,57.80,57.90,7356000,56.52
2014-02-21,58.40,58.45,58.20,58.20,17229000,56.81
2014-02-20,58.05,58.05,57.60,57.65,13707000,56.28
2014-02-19,58.10,58.20,58.05,58.15,13350000,56.76
2014-02-18,57.95,58.15,57.80,58.15,13057000,56.76
2014-02-17,58.10,58.25,57.95,57.95,15396000,56.57
2014-02-14,57.70,58.20,57.70,57.95,22295000,56.57
2014-02-13,57.45,57.55,57.35,57.40,8206000,56.03
2014-02-12,57.15,57.55,57.15,57.55,18559000,56.18
2014-02-11,56.60,56.95,56.60,56.95,5528000,55.59
2014-02-10,56.90,56.90,56.60,56.60,5995000,55.25
2014-02-07,56.40,56.70,56.30,56.60,15933000,55.25
2014-02-06,55.95,56.20,55.80,56.00,12833000,54.67
2014-02-05,56.40,56.40,55.60,55.80,57509000,54.47
2014-01-27,58.10,58.20,57.45,57.60,21287000,56.23
2014-01-24,58.30,58.80,58.30,58.65,10684000,57.25
2014-01-23,58.60,58.75,58.35,58.50,6894000,57.11
2014-01-22,58.45,58.65,58.35,58.65,6824000,57.25
2014-01-21,58.75,58.85,58.50,58.55,6938000,57.15
2014-01-20,58.40,58.80,58.40,58.80,5614000,57.40
2014-01-17,58.60,58.70,58.30,58.65,8158000,57.25
2014-01-16,58.50,58.75,58.50,58.55,12758000,57.15
2014-01-15,57.95,58.45,57.95,58.40,11646000,57.01
2014-01-14,57.70,57.85,57.60,57.80,4248000,56.42
2014-01-13,58.00,58.20,57.80,57.90,6155000,56.52
2014-01-10,57.50,57.65,57.50,57.55,4730000,56.18
2014-01-09,57.65,57.80,57.40,57.55,8548000,56.18
2014-01-08,57.70,57.95,57.70,57.80,7596000,56.42
2014-01-07,57.75,57.90,57.70,57.70,13118000,56.33
2014-01-06,57.75,57.95,57.55,57.70,14836000,56.33
2014-01-03,58.45,58.45,57.70,57.85,14494000,56.47
2014-01-02,58.70,58.75,58.35,58.55,10743000,57.15
2013-12-31,59.05,59.05,58.70,58.70,12215000,57.30
2013-12-30,58.35,58.95,58.35,58.80,18091000,57.40
2013-12-27,57.80,58.40,57.80,58.30,12569000,56.91
2013-12-26,57.85,57.95,57.80,57.85,3411000,56.47
2013-12-25,57.90,57.95,57.75,57.85,3309000,56.47
2013-12-24,57.85,57.90,57.70,57.80,5042000,56.42
2013-12-23,57.55,58.00,57.55,57.85,8998000,56.47
2013-12-20,57.35,57.55,57.20,57.45,4298000,56.08
2013-12-19,57.40,57.50,57.15,57.35,6039000,55.98
2013-12-18,57.20,57.20,56.85,57.00,3476000,55.64
2013-12-17,57.15,57.30,57.10,57.20,3081000,55.84
2013-12-16,57.25,57.25,56.70,56.90,6952000,55.54
2013-12-13,57.10,57.40,57.05,57.35,5092000,55.98
2013-12-12,57.60,57.60,57.20,57.40,4185000,56.03
2013-12-11,57.95,58.30,57.65,57.85,10098000,56.47
2013-12-10,57.55,57.90,57.55,57.80,6823000,56.42
2013-12-09,57.55,57.95,57.55,57.65,8602000,56.28
2013-12-06,57.05,57.40,56.90,57.15,4004000,55.79
2013-12-05,57.45,57.50,57.00,57.10,6033000,55.74
2013-12-04,57.25,57.65,57.20,57.45,7394000,56.08
2013-12-03,57.35,57.50,57.15,57.50,7368000,56.13
2013-12-02,57.60,57.70,57.35,57.45,5579000,56.08
2013-11-29,57.35,57.70,57.25,57.55,14690000,56.18
2013-11-28,57.35,57.45,57.20,57.35,11208000,55.98
2013-11-27,56.70,57.05,56.65,57.00,8085000,55.64
2013-11-26,56.00,56.90,56.00,56.70,9848000,55.35
2013-11-25,56.15,56.50,56.15,56.25,10285000,54.91
2013-11-22,55.50,55.70,55.50,55.50,10916000,54.18
2013-11-21,56.10,56.10,55.40,55.45,35037000,54.13
2013-11-20,56.65,56.70,56.35,56.45,9674000,55.10
2013-11-19,56.55,56.85,56.55,56.80,8467000,55.45
2013-11-18,56.35,56.50,56.20,56.45,5503000,55.10
2013-11-15,56.10,56.35,55.90,56.15,12626000,54.81
2013-11-14,56.00,56.10,55.65,55.90,15565000,54.57
2013-11-13,56.25,56.30,55.70,55.75,17139000,54.42
2013-11-12,56.60,56.60,56.20,56.50,6235000,55.15
2013-11-11,56.45,56.50,56.20,56.30,8216000,54.96
2013-11-08,56.60,56.65,56.35,56.45,6185000,55.10
2013-11-07,56.85,56.85,56.50,56.65,4867000,55.30
2013-11-06,56.80,56.90,56.60,56.80,4701000,55.45
2013-11-05,57.25,57.35,56.75,56.80,7851000,55.45
2013-11-04,57.40,57.40,57.10,57.35,6632000,55.98
2013-11-01,58.00,58.10,57.45,57.60,6265000,56.23
2013-10-31,57.85,58.05,57.60,57.90,6034000,56.52
2013-10-30,57.80,57.90,57.65,57.90,4349000,56.52
2013-10-29,57.45,57.80,57.30,57.75,5772000,56.37
2013-10-28,57.15,57.65,57.10,57.50,6929000,56.13
2013-10-25,57.35,57.35,56.85,57.10,11158000,55.74
2013-10-24,57.70,57.70,57.15,57.55,7929000,56.18
2013-10-23,59.10,59.10,58.60,58.70,8610000,55.98
2013-10-22,58.80,59.10,58.60,59.00,7163000,56.27
2013-10-21,59.05,59.15,58.85,59.00,6535000,56.27
2013-10-18,58.65,59.10,58.65,59.05,14782000,56.32
2013-10-17,58.65,58.85,58.45,58.55,5042000,55.84
2013-10-16,58.45,58.60,58.25,58.25,6962000,55.55
2013-10-15,58.45,58.60,58.30,58.50,8023000,55.79
